NULL;23803;541;28453;97730;150527
Meblarze;458;29;413;1887;2787
Polnoc;2541;45;2999;9954;15539
Poludnie;7382;182;7967;18376;33907
Pozostale;5936;126;8921;36923;51906
Wschod;2149;84;2004;8557;12794
Zachod;5337;75;6149;22033;33594
