Meblarze;2779;3236;85.88
Polnoc;20148;23690;85.05
Poludnie;43849;43473;100.86
Pozostale;86048;70699;121.71
Sieci;NULL;NULL;NULL
Wschod;22207;20295;109.42
Zachod;53522;44894;119.22
